hollywoodFilms,Genre,rottenTomatoesRatings%,audienceRatings,budget
Speed Racer,Action,0.38,0.61,120
Spider-Man 3,Action,0.61,0.54,258
Spy Kids: All The Time in the World,Action,0.22,0.4,27
Star Trek,Action,0.94,0.91,140
Stardust,Adventure,0.76,0.86,70
Step Brothers,Comedy,0.54,0.68,65
Step Up 2: The Streets,Drama,0.26,0.81,18
Step Up 3D,Drama,0.46,0.67,30
Stone,Drama,0.49,0.2,22
Stop-Loss,Drama,0.65,0.27,25
Street Fighter: The Legend of Chun-Li,Action,0.16,0.28,50
Street Kings,Action,0.37,0.62,20
Sucker Punch,Action,0.23,0.48,82
Sunshine Cleaning,Comedy,0.72,0.59,5
Super 8,Horror,0.82,0.78,50
Superbad,Comedy,0.88,0.87,20
Superhero Movie,Comedy,0.15,0.36,65
Surrogates,Action,0.39,0.42,80
Swing Vote,Comedy,0.36,0.44,20
Take Me Home Tonight,Comedy,0.28,0.46,25
Take Shelter,Drama,0.92,0.85,5
Taken,Action,0.58,0.83,25
Takers,Action,0.27,0.57,32
Taking Woodstock,Comedy,0.48,0.48,29
Terminator Salvation,Action,0.33,0.64,200
The A-Team,Action,0.47,0.71,100
The Adjustment Bureau,Thriller,0.72,0.67,51
The Adventures of Tintin,Adventure,0.74,0.78,130
The Artist,Drama,0.97,0.91,16
The Back-up Plan,Comedy,0.2,0.47,35
The Bank Job,Thriller,0.78,0.74,20
The Beaver,Drama,0.62,0.57,21
The Big Year,Comedy,0.38,0.62,41
The Book of Eli,Action,0.48,0.68,80
The Bounty Hunter,Action,0.07,0.41,40
The Bourne Ultimatum,Thriller,0.93,0.91,110
The Box,Drama,0.46,0.27,30
The Boy in the Striped Pyjamas,Drama,0.63,0.84,13
The Brave One,Action,0.43,0.65,70
The Bucket List,Drama,0.41,0.81,45
The Change Up,Comedy,0.24,0.53,52
The Chronicles of Narnia: Prince Caspian,Action,0.66,0.78,200
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,0.49,0.63,155
The Company Men,Drama,0.66,0.55,15
The Conspirator,Drama,0.56,0.65,25
The Crazies,Horror,0.72,0.54,20
The Darjeeling Limited,Drama,0.67,0.79,18
The Dark Knight,Thriller,0.94,0.96,185
The Day the Earth Stood Still,Thriller,0.19,0.34,100
The Debt,Thriller,0.76,0.7,20
The Descendants,Drama,0.89,0.88,20
The Dilemma,Comedy,0.23,0.31,70
The Duchess,Drama,0.6,0.68,14
The Eagle,Action,0.39,0.43,25
The Expendables,Action,0.4,0.58,82
The Eye,Horror,0.22,0.51,12
The Fighter,Drama,0.91,0.88,25
The Final Destination,Horror,0.29,0.52,40
